"LGA","Ward","count"
"Kaduna_North","Sardauna",18
"Ikara","Saulawa",17
"Ikara","Saya Saya",12
"Ikara","Saya_saya",8
"Kaduna_North","Shaba",18
"Giwa","Shika",15
"Soba","Soba",18
"Kudan","Taba",18
"Birnin_Gwari","Tabanni",17
"Jemaa","Takau",10
"Kajuru","Tantatu",18
"Kaduna_South","Television",17
"Kaduna_South","Tudun Nupawa",12
"Markafi","Tudun Wada",12
"Zaria","Tudun Wada",12
"Kaduna_South","Tudun Wada Nrth",13
"Kaduna_South","Tudun Wada South",12
"Zaria","Tudun wada_zaria",9
"Kaduna_South","Tudun_nupawa",4
"Markafi","Tudun_wada",9
"Kaduna_South","Tudun_wada_north",4
"Kaduna_South","Tudun_wada_south",8
"Zaria","Tukur Tukur",13
"Zaria","Tukur_tukur",9
"Soba","Turawa",17
"Igabi","Turuku",6
"Igabi","Turunku",13
"Kaduna_North","Ung Dosa",12
"Zangon_Kataf","Ung Rimi",13
"Zaria","Unguwan Fatika",12
"Zaria","Unguwan Juma",12
"Kaduna_North","Unguwan Rimi",12
"Kaduna_North","Unguwan Shanu",12
"Kaduna_North","Unguwan_dosa",9
"Sabon_Gari","Unguwan_gabas",6
"Zango_Kataf","Unguwan_gaiya",9
"Zaria","Unguwan_juma",8
"Kaduna_North","Unguwan_rimi",8
"Zango_Kataf","Unguwan_rimi_zango",6
"Kaduna_North","Unguwan_sarki",9
"Kaduna_North","Unguwan_shanu",9
"Kaduna_North","Unguwar Sarki",11
"Zaria","Unguwar_Fatika",7
"Zangon_Kataf","Ungwa Gaiya",10
"Kaduna_South","Ungwawan Sanusi",10
"Sanga","Wasa",16
"Giwa","Wazata",18
"Zaria","Wucciciri",17
"Giwa","Yakawada",18
"Chikun","Yelwa",17
"Kudan","Zabi",11
"Sabon_Gari","Zabi",17
"Kudan","Zabi_kudan",7
"Zangon_Kataf","Zaman Dabo",12
"Zango_Kataf","Zaman_dabo",9
"Zangon_Kataf","Zango Urban",9
"Zango_Kataf","Zango_urban",8
"Igabi","Zangon Aya",12
"Igabi","Zangon_aya",9
"Kaura","Zankan",15
"Zango_Kataf","Zonkwa",2
"Zangon_Kataf","Zonkwa",8
"Zango_Kataf","Zonzon",9
"Zangon_Kataf","Zonzon",12
"Kubau","Zuntu",17
