"LGA","lambda_mean","lambda_median","lambda_lower_95","lambda_upper_95","z_mean","z_median","z_lower_95","z_upper_95","pi_mean","pi_median","pi_lower_95","pi_upper_95","MMR_mean","MMR_median","MMR_lower_95","MMR_upper_95","corr_mean","corr_median","corr_lower_95","corr_upper_95"
"Kauru",13.6595605828813,10.827408150069,4.85503151263792,40.954975744014,8.72767857763642,8.40880809920011,4.03123615655054,15.2214554502919,0.770544710529832,0.834310393139656,0.20546995931732,0.988179615925829,158.702923003152,125.797701290449,56.4079413574755,475.833341977623,1.60183769106454,1.19859468157523,1.01196177687135,4.86689150771395
"Kubau",7.34388339443276,5.91582796318514,2.10803874155717,21.6625752132566,4.90908282163464,4.60370876003724,1.71024344499622,9.80506888467922,0.783766729018658,0.847960671562434,0.208339697778273,0.985952057064989,165.105292141024,132.999729388155,47.392957319181,487.018327636165,1.56239174334717,1.17929997644517,1.01424809942308,4.79985336791224
"Kudan",10.1029384942415,8.28748052232521,3.43588096654978,28.4234005629336,6.83198402247259,6.51717165323316,2.83225438357248,12.6372650084048,0.784769301673778,0.845434461627275,0.227579836900708,0.986250026775809,223.170719996499,183.06782686824,75.897525216474,627.863939980861,1.5194710639711,1.18282379698066,1.01394167082498,4.39406238104242
"Lere",29.2920296726309,26.4941250054445,16.2562625609944,60.4840369880802,22.8552530276135,22.529382956356,14.5909530048001,33.0116451221226,0.836723826130178,0.893355188441403,0.385703601573933,0.994598727394683,463.408158086235,419.14451835856,257.178651494929,956.874497517485,1.28498814788759,1.11937559992041,1.00543060478216,2.59266440842014
"Makarfi",16.8031142078928,14.6502674582503,7.57596661554298,40.2671193466845,12.4554963553952,12.1418734778718,6.64046769328732,20.135394130753,0.820405657301461,0.884611555382742,0.312733812968118,0.994048256195149,283.740530359554,247.387157349718,127.929189725481,679.958111223987,1.36193497569527,1.13043967594175,1.00598737915162,3.19760754553455
"Sabon_Gari",17.0734150234236,13.1882075673356,6.52603297894405,55.6660268602993,10.9498921701367,10.6277014250155,5.55930151165323,18.2180071121514,0.792166410887357,0.861222671503508,0.189471444104466,0.987801703396504,236.539415675029,182.71276762726,90.4133136456644,771.211233863942,1.59782869233902,1.16113989225916,1.01234893254551,5.27784018173072
"Sanga",8.73172819855456,6.80116670390787,2.55430026636499,26.7697865359504,5.76070126421606,5.43378161252141,2.13315110140416,11.2011896480092,0.797803173341091,0.861961523095637,0.209161980021697,0.986427569669525,147.172226505218,114.632845169524,43.0524231647563,451.201525972533,1.56114548050695,1.16014459254554,1.01375917578523,4.78098361842517
"Soba",25.7203419124827,16.0056864083032,7.27932322338962,104.49367725486,11.4265690880884,11.1069986681905,5.89690979666975,18.7934819891936,0.680841423759155,0.769781561992886,0.100145840922721,0.997467536986088,339.363265767024,211.184673549323,96.0459588783431,1378.72644484576,2.34819254771472,1.29906982626566,1.00253889266568,9.98543714954556
"Zangon_Kataf",198.387665715437,188.208307990365,152.184576825755,311.308163825894,166.452311586488,166.107055566298,141.687409286775,193.277575846135,0.86234197905572,0.894814899218825,0.54022305542546,0.993148982871446,4069.49057877819,3860.68324082801,3121.73490924625,6385.80848873629,1.19185864022926,1.11754956346117,1.00689827734519,1.85108723150214
"Zaria",25.5418034580149,22.3984000135925,12.7731220332845,59.4021347624336,18.2999965678119,17.9641198628505,10.9829461869791,27.4698098727052,0.790818176416268,0.842356667122483,0.31224438857034,0.988937661836503,432.765222941629,379.505252687097,216.420230994316,1006.47466557834,1.40436058085137,1.18714558697412,1.0111860823897,3.20261960943447
