"LGA","lambda_mean","lambda_median","lambda_lower_95","lambda_upper_95","z_mean","z_median","z_lower_95","z_upper_95","pi_mean","pi_median","pi_lower_95","pi_upper_95","MMR_mean","MMR_median","MMR_lower_95","MMR_upper_95","corr_mean","corr_median","corr_lower_95","corr_upper_95"
"Kagarko",16.246939846251,14.5797947918273,7.85626143806919,34.4198569375844,13.286416737625,12.9564767954739,7.23972588094051,21.1921090134271,0.879900757683212,0.938511370866979,0.401286978157818,0.99729500693599,639.140041158575,573.556050032545,309.058278444893,1354.04629966894,1.22834458109794,1.06551719141804,1.00271232989757,2.49198218358112
"Kajuru",55.3391117016613,37.6101819179335,17.1175264686962,199.850300792316,21.3762736108365,21.0410392744257,13.3489025606486,31.2868475271973,0.570107824503536,0.567131454958974,0.105696523913545,0.99077758993757,1346.45040636645,915.089584377944,416.484828922048,4862.53773217313,2.62566630960683,1.76325963100291,1.00930825460335,9.46104908688259
"Kaura",19.5504055846897,8.6769656031597,1.10621395456178,101.497359560823,2.19544907533515,1.89244388577305,0.327683335239727,5.79037707232659,0.347230572332829,0.223124177745568,0.0106516093723327,0.989008770937516,257.343761809789,114.215685180462,14.5611946105276,1336.01894906967,15.8587000389322,4.48180923362485,1.01111337875461,93.8825271202642
"Kauru",24.3675574706424,16.0068961209332,5.60280911706526,91.485775239583,8.44524220313421,8.1281804492731,3.84277411510122,14.9004755727382,0.539735489465706,0.525089879430668,0.0859281805918757,0.986473209528801,283.113250501248,185.975323817046,65.0959581394825,1062.92291436718,3.04246083064575,1.90443586743667,1.01371227352203,11.6376256691181
"Kubau",6.66194839369233,5.62826297974917,2.08273067502813,17.5569557633498,5.07366149819615,4.7743237123962,1.80077023952301,10.035263467456,0.851313586151027,0.924104303100571,0.273666869893977,0.996516963343822,149.774019642364,126.534689292922,46.8239810033302,394.7157320897,1.36213337087926,1.08212892921839,1.00349521060296,3.65407767649802
"Kudan",15.6347351149229,11.0329441015729,3.96098423004014,55.4671483270404,6.58525627423895,6.26684080406378,2.67832168586911,12.3022717604777,0.590678916335564,0.603592748207037,0.105628852114029,0.984094303149736,345.366359949699,243.714250089969,87.4968904360535,1225.25178544379,2.52479298408955,1.65674621336225,1.0161627770829,9.46711035944553
"Lere",28.0874075433031,25.6348193023748,16.0359474295078,53.9147709154001,22.9827470490386,22.6566607130661,14.7009573254917,33.1751519988333,0.871559988532539,0.92187732547008,0.440361811966744,0.996129962504453,444.350696777458,405.55006015464,253.693204073845,852.946858335708,1.22470785675404,1.08474302640504,1.00388507287325,2.2708599448333
"Makarfi",18.1880657289317,15.3586597223509,7.86867224285981,46.9359400418663,12.5022586685137,12.1779590173273,6.65323775367323,20.1924867086502,0.783906780178194,0.838951076311459,0.263051107195331,0.988612376559796,307.127080866796,259.349201660772,132.871871713269,792.569065212196,1.47062398291052,1.19196461895813,1.01151879514181,3.80154263888796
"Sabon_Gari",24.9422043510453,16.6480234273035,7.30373648740574,97.2363641178222,10.8258307005387,10.5056966802332,5.47392422045228,18.0603129486835,0.629718920426348,0.668702085367195,0.104076893217969,0.981820141328802,345.555615836038,230.645932769513,101.187815009777,1347.13721415658,2.39552502544735,1.49543424775689,1.01851648576556,9.60828066001194
"Sanga",9.81807195752654,7.31349643268933,2.72780691602365,33.3807287322345,5.91105976000069,5.59578965351497,2.21018432056476,11.4150753352876,0.763888857875732,0.83705823116615,0.164404494934957,0.98695233638631,165.482419644809,123.268101006056,45.9768568350523,562.628159990469,1.73613547889731,1.19466001619394,1.01322015575908,6.08255875842437
"Soba",15.015081687963,13.3610707890967,6.90284301799279,33.4986697352417,11.8149021030445,11.4895568448152,6.17419451931305,19.2895389527989,0.853651351097602,0.913648247978794,0.353078932128593,0.995387284080127,198.114285366975,176.290682004178,91.0785462197227,441.993267386749,1.28373441427648,1.09451312604547,1.00463409166829,2.83222789307007
"Zangon_Kataf",187.561937023378,178.580513529164,148.07245076014,284.298916104689,166.400252851848,166.045884376235,141.768423887992,192.919049802357,0.90957408033281,0.948959077648819,0.592415403466666,0.997725024190534,3847.4243491975,3663.19002111106,3037.3836053362,5831.77263804491,1.12709270478345,1.05378622066374,1.00228016312542,1.68800472464806
"Zaria",22.9050399801748,20.8265971489396,12.2743561826843,47.7040602238623,18.4352973218494,18.1166386426227,11.1088244197667,27.5763273224458,0.858495800752916,0.911638312762874,0.394262813075245,0.995338132490561,388.089460863688,352.873553862073,207.969437185433,808.269403996312,1.24710597661374,1.09692625463611,1.00468370230906,2.53637920402165
